,rates,leftOnlyNS,leftStraightNS,straightOnlyNS,rightStraightNS,rightOnlyNS,allNS,leftOnlyWE,leftStraightWE,straightOnlyWE,rightStraightWE,rightOnlyWE,allWE,leftOutLanesNS,rightOutLanesNS,leftOutLanesWE,rightOutLanesWE,moveDurationNS,moveDurationWE,yellowDurationNS,yellowDurationWE,turnDurationNS,turnDurationWE,waitDurationNS,waitDurationWE,lengthN,lengthS,lengthW,lengthE,demandN,demandS,demandW,demandE,demandProbNS_Straight,demandProbNS_Left,demandProbNS_Right,demandProbNS_UTurn,demandProbWE_Straight,demandProbWE_Left,demandProbWE_Right,demandProbWE_UTurn,pDemandRegN,pDemandRegS,pDemandRegW,pDemandRegE,pDemandOppN,pDemandOppS,pDemandOppW,pDemandOppE,pSpeedRegN,pSpeedRegS,pSpeedRegW,pSpeedRegE,pSpeedOppN,pSpeedOppS,pSpeedOppW,pSpeedOppE,outSpeedNS,outSpeedWE,inSpeedNS,inSpeedWE,vehicleMaxSpeed,vehicleMinAccel,vehicleMaxAccel,vehicleMinDecel,vehicleMaxDecel,vehicleMinLength,vehicleMaxLength,minGap
0,0.7099615205518546,0,0,3,1,1,0,0,0,0,0,1,0,1,1,2,2,36.622827602972336,85.61677212438754,4.480442539347487,3.5048661989374645,22.02948015532514,21.645946574342496,8.88737454504285,7.292914981969875,800,900,300,600,0.3131535443498333,0.35325381561571106,0.05863682688831494,0.018981701822367178,0.5284871683646954,0,0.2507087311163858,0,0,0,0.09530289961017009,0,0.21943476657642622,0.19506414601013194,0.10162973920247458,0.22611469214998217,0.20606960303606509,0.07333682708388024,0.13852462631574433,0.13128578201324853,1.0220238928460368,1.0371477782579501,1.2189172652562301,1.5161395144987435,1.329121598069181,2.1158080077366286,1.7461076772598498,1.559997911783972,11.21740559268206,14.810512450062765,16.45443802901581,18.225145614006017,149.47545803394627,2.464067119709043,3.872772426889644,3.424977180152772,6.2257589966644336,3.82824685815342,5.571241908464547,2.405197792727805
0,0.6712192647410667,1,0,0,0,1,0,0,0,3,1,1,0,2,1,2,1,119.13384309096415,62.23055148831877,3.092756356042037,5.085625677194924,27.43924672292712,24.638977594297458,11.057811560753777,6.721763746151209,1000,700,1000,1000,0.24669959339299394,0.18894634874714689,0.37388821370805536,0.32189569815367436,0,0.2662908116882482,0.053044575349141206,0.09333828175455057,0.7680152795929747,0,0.09146186185455958,0,0.2736214353536545,0.03252496120068283,0.12706813737073505,0.2929469565349653,0.2484283823364405,0.022549125198853527,0.08941074583625691,0.29985500706407936,1.2704052634642056,0.9390213134596531,1.832660924474637,2.1285628868948314,1.991983622823319,2.0625636325637213,1.2295771034747398,1.605017339395506,20.39526898903817,25.35803673583826,22.99882052294919,17.58757917573468,135.2259372911464,2.4016402548260127,3.774315277252454,2.978330243690138,5.96111406999753,3.80368052928039,5.574227321713007,2.5492577724724113
0,0.7160257186659712,1,1,0,1,1,1,0,0,0,1,1,0,2,2,1,1,112.5862518989377,107.14929641652857,3.4510327622200574,3.2982685259611246,34.710154849025734,17.340677224757712,12.409850926323003,11.378184135572859,300,1000,300,900,0.46993795635364743,0.1648788034657287,0.013879081890819978,0.04835812472994826,0.693812279272678,0.007502428939603522,0.22995041983898826,0.06873487194873024,0.43085491394786046,0,0.21186398149045857,0,0.17434416444018652,0.22721311539563976,0.014262818533576426,0.13213210182118537,0.21587132613988316,0.2721642049820207,0.17052331137815277,0.140380237296961,1.3234879734778238,1.7068756568331074,2.1759671091293895,2.01494106364015,1.7083193311397382,1.671169368029616,1.8228248339669988,1.9280355222508327,23.915341223435007,17.282323392908463,21.72265203522158,25.375093290162226,140.7327804340647,2.3325289353936336,3.772145333575629,3.2568887960165496,6.6214037535831824,3.9146124214727607,5.615017744538291,2.344113687232932
0,0.5929748670761814,1,0,3,1,0,0,0,1,2,0,1,0,2,1,1,2,55.1918956484246,108.82852583286962,3.3753468507539535,3.1742593371840533,16.23791491795591,21.038729831070203,13.245887738136062,3.111090006393405,400,400,300,300,0.47716676948832415,0.2614120646484399,0.59623706444865,0.18167716556214228,0.5896931646829159,0.2921788684946546,0.09699220635833547,0.02113576046409409,0.7049441044196794,0.11182550880100657,0.1390863402359587,0.0441440465433554,0.27165263754965446,0.19386622765515302,0.1033194050187437,0.013367527877841043,0.27612414204931923,0.2525952590191068,0.07319422105998204,0.04257967036595908,1.3057203833314426,1.7324035281071652,1.305815719969977,2.101228488652763,2.0971974321580023,2.026382214374121,2.217493436902108,1.5429121619192032,15.45408758283543,13.619203186384999,14.742473101501414,25.448149806078057,147.54899351583902,2.1723476730029927,3.919733303307414,3.014661978326969,5.697993823011143,3.9076096910098883,5.578165870476218,2.688596328126533
0,0.6107813253277721,0,1,2,0,0,0,1,1,2,1,1,0,2,1,2,2,115.25978004579372,68.17001516516922,4.669844764940342,5.9910758093923535,23.412745307027816,12.828017393646945,12.059079662845992,3.261655991171473,400,800,500,300,0.20079034137218083,0.2839925116851721,0.3498923905662609,0.2301720197080822,0.5374457819285368,0.17559598424808803,0,0.07510689013606801,0.622308618889475,0.08755226701875826,0.2209506764115146,0.06918843768025222,0.16489193182527193,0.20389245847710227,0.1548603186262327,0.28645283620630024,0.2050425642152699,0.11281586836973351,0.06882634757983425,0.11823596618264863,1.1719992636586194,2.0209004025324577,1.3169719498194243,2.2340332364812916,1.2527225515357392,1.7976913696204244,1.143847193067085,2.1591002042362124,17.74365339626562,17.409376478633828,13.843894050484327,18.24932014228922,147.89339241618217,2.2059068141695937,3.8030117816319167,2.9057619238171433,5.8514025659905355,3.8673069408692795,5.681908823559903,2.5600563331060364
0,0.753988572747235,1,1,1,0,0,0,0,0,2,0,0,0,1,1,2,2,76.89673437911439,24.559172670899827,4.98235539746121,5.30037010743368,29.933738478096405,17.09062334035823,5.53959423951204,3.164119431802226,300,400,300,1000,0.28227951024590514,0.3703647877259763,0.02395858894458382,0.06154330137600733,0.6525352314032319,0.06090474332530152,0,0.006360923192899504,0.7976544313030951,0,0,0,0.2407439551360172,0.1063946710661705,0.026350330000401233,0.04937947565922197,0.12359373049201255,0.09090093583767646,0.2856314492716469,0.051334621931387034,1.000568539064474,1.4038129376031074,1.4366180360923115,1.8251851731778335,1.292779097691111,2.2377576026216652,1.6860311227447746,2.083188833686371,20.58266952953269,18.35123662054177,11.782881054190586,16.194500058547447,137.5962158397275,2.0834979127048596,3.689155105498395,2.8441000642281526,6.20564410843395,3.855366671480439,5.6042632646965425,2.5191358841087346
0,0.646567139344514,0,0,1,0,1,0,0,1,1,1,1,0,2,1,1,2,55.417967835254395,30.35932224327687,5.359941038538844,5.220651091769123,35.3152327102093,26.228058661748264,8.361011182192678,14.211549230635782,900,900,600,600,0.20262408001059382,0.3909333585389659,0.3980294549963659,0.36641751120793503,0.5267994013988727,0,0.17415947056171413,0,0.664744098836088,0.27559115938439593,0.010881423866914807,0.04878331791260121,0.11924495775286197,0.13750698726258856,0.07191368482468775,0.2752378788486597,0.09526706198469158,0.019622664578870345,0.28112400946023725,0.14301424679917077,1.3553940319797753,1.3181817348339653,1.6349505733672962,1.7286896318373453,1.0260539986207702,1.8669421023344395,1.464191912821232,1.8772778245754176,20.613782163190066,12.958171180618391,18.74919194772243,18.23201514521742,143.50012996447404,2.142821006598903,3.820562012521563,2.782077415162731,6.622223490314706,3.801220408745072,5.644181887255634,2.6375520801677066
0,0.7115943290366245,0,0,3,1,0,0,0,1,0,0,1,0,2,1,2,2,89.96075241012562,65.17117990933096,3.734876741067763,5.771340616204576,16.822920941132068,31.128055080190492,12.773851904713778,3.7248431856158355,400,500,600,900,0.4064147535651461,0.31678893062729485,0.2538172657367537,0.23257453610512396,0.7178655127153394,0,0.01720399441605529,0,0.6931824652926326,0.27487907495509184,0.021043098181687047,0.010895361570588513,0.21490237257471018,0.288477826490694,0.2865539442785487,0.18218198081219206,0.08190457628165794,0.025981836949365344,0.07250336389673688,0.18337447161324189,1.0144638425551507,1.9037881619098913,1.8446151585661976,2.2042697914526053,0.9047601897895138,1.537187421037316,1.1277085389956607,0.9903676498618977,17.667303037215024,23.148482653555135,16.522120595779135,19.05921038938914,120.12749515530552,2.011392426243942,3.8421546424108692,3.3726932858598992,5.799004091418117,3.875024646500541,5.531950076507128,2.4151069633395887
0,0.6402023477758586,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,98.68373777266994,95.46467681302883,3.4985263509740663,3.757838265325545,37.46470731959469,10.77217708971516,11.7333292038302,4.713334471762215,500,1000,500,900,0.3319357713192312,0.2792727362228413,0.19704934261263635,0.1861156312956857,0.5977782918583119,0.12204172556274394,0.2074700649027551,0.07270991767618905,0.6154866950800659,0.27113584962156173,0.09008157820955155,0.02329587708882086,0.24180411609255753,0.1072431274042807,0.05399742210433116,0.220679729306366,0.2682158166080435,0.047733150487855744,0.1024640101606547,0.20796425254143103,1.2343576134019139,1.1111235242232436,1.166065203070067,1.1954334868752556,1.8673199306987684,2.0477937917175244,1.1689866186998048,2.0191980931615694,22.44792144424771,11.344430999490621,22.715699192223664,12.66262171435666,149.91167134142185,2.4163620683608262,3.85381352885011,2.6128635875001347,6.201786468987182,3.9688480991542425,5.641902932021208,2.3530487741494643
0,0.7250836058073218,0,0,2,0,1,0,0,0,3,1,0,0,1,2,1,1,54.04079185371524,72.34080797297726,3.8779490965086865,4.818831760999073,19.47376597631699,25.34748844486212,9.96259281440247,3.129531351449772,500,700,800,800,0.27166276031533926,0.26023227376485203,0.2526156373566515,0.5296118465040545,0.5712833079766071,0,0.2898479956055694,0,0.5372988437838783,0,0.14630846136123596,0,0.1304780144427588,0.07944344960991265,0.21987139340026343,0.1501009900386824,0.024533181130372325,0.2136487891573285,0.13055403146910755,0.07873331364015114,1.366231006773255,1.4973756227360013,1.2434674573317919,1.2701011101797561,1.3330354551118082,2.122179391419778,1.5343248141495114,1.6725234399509188,12.968450386923466,21.43597568453932,20.7101091633739,18.871848375104264,147.75392455635142,2.3210040697220977,3.5007579685693604,3.4429438272086568,5.916068792762514,3.8654510507653663,5.546686360211554,2.5159551132945848
