,rates,leftOnlyNS,leftStraightNS,straightOnlyNS,rightStraightNS,rightOnlyNS,allNS,leftOnlyWE,leftStraightWE,straightOnlyWE,rightStraightWE,rightOnlyWE,allWE,leftOutLanesNS,rightOutLanesNS,leftOutLanesWE,rightOutLanesWE,moveDurationNS,moveDurationWE,yellowDurationNS,yellowDurationWE,turnDurationNS,turnDurationWE,waitDurationNS,waitDurationWE,lengthN,lengthS,lengthW,lengthE,demandN,demandS,demandW,demandE,demandProbNS_Straight,demandProbNS_Left,demandProbNS_Right,demandProbNS_UTurn,demandProbWE_Straight,demandProbWE_Left,demandProbWE_Right,demandProbWE_UTurn,pDemandRegN,pDemandRegS,pDemandRegW,pDemandRegE,pDemandOppN,pDemandOppS,pDemandOppW,pDemandOppE,pSpeedRegN,pSpeedRegS,pSpeedRegW,pSpeedRegE,pSpeedOppN,pSpeedOppS,pSpeedOppW,pSpeedOppE,outSpeedNS,outSpeedWE,inSpeedNS,inSpeedWE,vehicleMaxSpeed,vehicleMinAccel,vehicleMaxAccel,vehicleMinDecel,vehicleMaxDecel,vehicleMinLength,vehicleMaxLength,minGap
0,0.708319705646991,0,0,3,0,0,0,0,0,1,1,0,0,2,1,2,2,63.284546445112795,57.59551422379426,3.928795451331057,3.616494084668342,29.369419663931662,34.967115835731136,11.598026308815568,5.126577523833523,800,600,600,400,0.3432145147161334,0.443777514157613,0.4227048508793696,0.19060093030372408,0.8272128788749187,0,0,0,0.6166057927424647,0,0.14588729907987466,0,0.18771035527361057,0.018004015358275918,0.14459519753384625,0.0807606126435591,0.1552362908942215,0.08477965187912728,0.2388238386099542,0.2652508688401924,1.7558404509598153,2.2025451353228402,1.0098277195926013,0.9640274170252902,1.7080776937543471,1.4118529300113316,1.5648649003370991,1.742379619549711,14.599720041345591,24.11869412964254,16.81594548525952,24.351668756831064,145.8506079132551,2.3136794652202126,3.731872969995298,2.6442435374480127,6.8522527348268305,3.876231767363697,5.652740072504777,2.4852378517674074
0,0.5402240386131282,1,1,1,1,1,0,1,0,0,1,1,1,2,1,2,2,64.82257435567843,32.790251105247215,5.545500794982377,3.0140775661853754,26.955891837858676,39.45853683204711,12.132982339022057,8.361309034532738,400,300,600,700,0.3295501032529595,0.5532062276305573,0.28853774474299154,0.4033707038668297,0.6538041235481941,0.010495147512661595,0.26413472217321626,0.07156600676592816,0.662401163055563,0.24120926989174013,0.03787648908183729,0.05851307797085965,0.17170119324365135,0.023043615524144086,0.25298021806312165,0.07223813145132443,0.2472963123315066,0.061363333747413415,0.2069761034031904,0.1935031394775564,1.6571774573622349,1.8049896938149703,1.3593046901324872,1.5068656371357125,1.789751644045301,1.5546951172456787,1.7953052249288417,1.1160940169279185,17.799441758077304,16.0057430701766,23.34651418040746,16.019552802498254,136.8548076952912,2.0115634370438604,3.9918624156422213,2.8612726692660706,5.851430331877029,3.817104364308964,5.512499862641245,2.5168454605667576
0,0.7153618014996883,1,0,3,1,0,0,0,0,1,0,0,0,1,1,1,1,32.93928810414591,59.39224534639406,3.7447415799574033,3.796214297296469,21.550669144942034,24.260542139135453,8.862867558699532,14.2525430074076,300,800,900,900,0.3908088335211144,0.39478935854509756,0.19700572158467816,0.25045572063121474,0.6646251730328846,0.035662771176280646,0.2615614761961328,0.03815057959470193,0.7332057166440049,0,0,0,0.22367482709090677,0.0983929528563023,0.2949350589508836,0.2367130534781346,0.034455431440960395,0.20841282967663063,0.16707076368734056,0.21412412540286083,1.83475151783853,1.585256050169349,1.8412318608777554,1.152935807110748,1.3632851778511197,1.3219044779160947,1.6205975243162456,1.3428474870914862,14.800682431032005,17.59019251006388,21.1816440882289,25.257752726424677,125.02679678825297,2.06670313246555,3.542754925553079,2.8743354938165604,6.438614415399345,3.8985058735731988,5.603404729621069,2.4554397181011725
0,0.6331657890540695,0,1,1,1,1,0,0,0,1,1,1,0,2,1,2,2,34.486107237934874,49.393682573425245,5.441862410793826,4.041567632380282,15.085322464697605,15.953160206604643,4.942888947206498,11.401607222635942,1000,500,800,500,0.32913365101353853,0.20879135196299214,0.4495260766523742,0.18765241267238122,0.4073055718892686,0.29799903862434246,0.19823411526131443,0.0964612742250745,0.6761570784427038,0,0.2653920412071671,0,0.06695865502694588,0.0900922496063398,0.2945528303241998,0.07293411948496091,0.1361848414438154,0.23786868191717675,0.22938076775718177,0.05767795727420612,0.997778356213613,1.3746003136265916,1.800503077036439,0.9645586356724851,2.098359223523345,2.079115223908607,0.9709290650117449,1.1551198019989946,19.477335513817536,23.872840795800983,25.969847461454528,18.06151344563093,146.8890862478125,2.0302121802975894,3.7457278060514088,3.2550727141146316,6.8239687717476984,3.963980454981694,5.611929780446358,2.506493251755954
0,0.6457126388092825,0,1,1,1,0,0,0,1,3,1,1,0,2,2,1,2,51.909071338128385,68.9501669466635,3.8121606465648004,4.21277613243481,35.524242936686235,30.662188129500844,14.994902810035072,13.664441509429022,800,300,600,800,0.18254827907552063,0.4438664858082977,0.2505828645381929,0.4836202485262998,0.5499776594441848,0.29129793215329464,0.11700106911706881,0.04172333928545165,0.6991045205855271,0.10763504038326896,0.11076690885840464,0.08249353017279928,0.1975457890884185,0.04021373904506712,0.2736821468083405,0.0538959576467732,0.18271881924566213,0.12752512067723207,0.29421560123061935,0.023218527048219754,1.2638791845453345,2.0847239167477913,0.9305028994756057,1.8026724771352969,1.6009612538375428,1.811226625133871,0.9350569262530842,1.1410781947391926,12.88278390949355,18.985818154044104,26.7621915432234,24.365166753198995,144.24271865749074,2.2292494285108706,3.9003905445463354,3.3229090145090865,6.228780256860377,3.8116127360530547,5.616245143000682,2.4671020838434266
0,0.705310269087515,0,1,0,0,1,1,0,0,2,0,0,0,1,2,1,2,76.54202737346313,31.199410391376194,3.8376129287100382,5.0963502971008126,11.064866305541091,28.600976818031924,5.82439176647994,10.416825386407197,800,500,1000,800,0.3856631627046118,0.3024017115865538,0.13870728912837088,0.13433999346353312,0.7143296076414596,0.06755638336714921,0.14551028403796573,0.07260372495342544,0.559975019829102,0,0,0,0.14422260918301563,0.2477929111392453,0.08291668067795255,0.13517883308413003,0.17711692398908907,0.17876099984869526,0.13139584430308668,0.09504480365773044,0.9518177778262655,0.9609714192085933,1.6123374229185297,1.4157092823268411,1.9399851004036042,2.047900851358029,1.238263095969458,1.3768536011111443,22.789084137204192,21.121631515174663,15.495424010794464,23.089068815761944,123.27760449783021,2.0941408317247223,3.709373020453876,3.4386822900402696,5.515106249241596,3.8598916096929345,5.519217356925095,2.646656144217919
0,0.6852937125476478,0,1,0,1,0,1,0,0,2,0,1,0,1,1,1,2,106.48985608692247,28.525405612638608,3.8587090906771415,4.58493683688124,14.889638918418825,35.16083175261855,4.338123864866279,5.817945745337225,600,500,300,500,0.26505864612270635,0.4450627174652161,0.43296987251279173,0.23074211990950327,0.6528639441420978,0.20295150439095325,0.1042258938587377,0.03995865760821132,0.5105239382791043,0,0.21701042988749533,0,0.23918793647689812,0.11311237127865206,0.20474420751393918,0.14212776104786315,0.1864043810865567,0.12864436201815632,0.18411586450913117,0.01755824258255433,1.2342149080601228,1.0550579074817499,1.4252210362963065,2.2221300678156157,1.928601259578819,1.1612747275836646,1.7373091486134364,1.228094072912765,15.241728737754148,16.057985440015266,18.528661438350476,25.31481537198372,142.99815377712724,2.031599693966869,3.5193256253383027,3.449407813159136,5.968245456405167,3.9879683347740382,5.615464437182135,2.4353506685791078
0,0.7610712990132176,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,105.66781229647611,65.27565715767443,4.848669884642298,3.8485151593244984,18.852587304746258,25.597636597909702,9.50841857335357,6.315508820739954,600,700,1000,700,0.17360553128206044,0.2526255472493114,0.15274909137101436,0.17913197360264838,0.6646096114341673,0.19097149589626114,0.06620770826626278,0.07821118440330871,0.6915213321441358,0.06912216271506888,0.18251435135994087,0.056842153780854415,0.2093305667534293,0.22749257427882605,0.03738759486819064,0.22443770480538938,0.10279956568711288,0.04330665725307304,0.23565781311232573,0.1332894127601771,0.9579697923411493,1.9659683789475269,1.823436445958255,1.607141506376621,1.7528799549166107,1.907678406022221,1.7544039934078728,1.618116168604883,19.512149765089575,16.548176878717896,14.4568326229878,14.07626313562917,138.51210317400796,2.392065595800866,3.7943822899029125,2.8470458627604334,6.043652907394072,3.971806401915761,5.662246319030132,2.504986057319059
0,0.6320245090317523,0,0,3,0,0,0,0,1,3,1,0,0,1,2,2,1,81.81558146455896,118.79797667948552,3.5402560723906027,3.0172709249961405,14.167770741227022,37.53311076137766,4.4628860997219615,13.287945351954349,800,800,500,800,0.2049092787711398,0.22086366650402967,0.5691531474238593,0.44089673447685995,0.6842493257475747,0,0,0,0.52727485600425,0.2954902579155701,0.09310041201755867,0.08413447406262126,0.019686972147088005,0.21587221512717514,0.1494673571870602,0.09802875427563965,0.2290275726079337,0.019576616519245766,0.2830612861360494,0.2766720234288883,2.1878163462455844,1.2713174503495301,2.108476147231021,1.9498985005451108,2.1447569660669683,1.185560417587487,0.9453972340631278,1.843329265361895,18.815531050299935,20.45024677487369,17.345596918210955,23.424590680162765,147.0848173544016,2.1539287066388026,3.5254582443554443,2.6446657186502742,6.775894098911262,3.808355462947843,5.6453202334221535,2.5530997686103056
0,0.6169356273224604,1,1,2,1,1,0,1,0,0,0,1,1,1,2,1,1,99.72336987190802,108.3492155547552,5.292137321198821,5.437125456094625,26.37924640092234,38.90947835027582,8.291078600729609,4.189481631812207,600,500,600,800,0.33220323592870904,0.36350706648801234,0.4013089839667221,0.38117308002486994,0.45712474698081096,0.2994943572699683,0.23028737572140914,0.01309352002781159,0.6258279375171691,0.2948831612751688,0.05280146846154877,0.026487432746113274,0.19442601580681007,0.11791538967309056,0.18762807974428133,0.21646245330496852,0.06211416397898819,0.21058722986525052,0.16047617991279597,0.056857197127745625,1.646443899709485,1.7116573198157465,1.506287757645029,2.2098709139123893,2.047857713764207,1.9126741585821425,1.6908798885889444,0.9543125253265844,12.957777658720978,16.48819119914968,23.5274425432155,16.703588727051894,130.15113666348714,2.4669908004751218,3.7235673307214814,3.1048191979557207,6.1743302267350675,3.8936099280840306,5.512240838675885,2.3927896153546624
